idx,project_id,user_id,groups_completed,total_contributions,agreeing_contributions,disagreeing_contributions,simple_agreement_score
0,-MiR5RA-m87bPmNwsbFR,09wP293GPrRKt2Q5EKkhLuzow2R2,3,126,453.0,345.0,0.5676691729323309
1,-MiR5RA-m87bPmNwsbFR,13MrH4g49oRR1oyAjl0DfVw9KBQ2,2,78,362.0,148.0,0.7098039215686275
2,-MiR5RA-m87bPmNwsbFR,3whaGluHInOtVBysIhxPzCylfan1,5,192,698.0,574.0,0.5487421383647799
3,-MiR5RA-m87bPmNwsbFR,46Fx9KYQZlXlJQQzTxRyEtiLdw83,1,36,147.0,105.0,0.5833333333333334
4,-MiR5RA-m87bPmNwsbFR,4KvTRwIzUtUsWuQpQI81S54pJwt1,1,42,155.0,139.0,0.5272108843537415
5,-MiR5RA-m87bPmNwsbFR,63W1JysKNjOCKmcZgHm61ISVdx22,1,42,158.0,136.0,0.5374149659863946
6,-MiR5RA-m87bPmNwsbFR,6KrrAbtXVjWo51Ckcy2NwvLLCar2,1,42,130.0,122.0,0.5158730158730159
7,-MiR5RA-m87bPmNwsbFR,7dflCwfXyWR888fDkD7spJM5cVA2,1,42,163.0,131.0,0.5544217687074829
8,-MiR5RA-m87bPmNwsbFR,8CbcZ4LJrpTdIQjf5NNZ1gR194i1,1,36,128.0,88.0,0.5925925925925926
9,-MiR5RA-m87bPmNwsbFR,8SyD0P0ynEXRbUDjQskI2XL2Pp73,2,72,315.0,189.0,0.625
10,-MiR5RA-m87bPmNwsbFR,8fdKNmxTDXXKWXLr0oKHh476we93,1,42,124.0,128.0,0.49206349206349204
11,-MiR5RA-m87bPmNwsbFR,8zbKXXfGjOY6VTgWgPwpMz7R3Ri1,6,216,762.0,636.0,0.5450643776824035
12,-MiR5RA-m87bPmNwsbFR,93Mwxj8wQfWmIkKE6L2ckPwdIIF3,1,42,160.0,92.0,0.6349206349206349
13,-MiR5RA-m87bPmNwsbFR,ArupoN0yhXhYDks20Z5dEBf7KId2,5,204,975.0,333.0,0.7454128440366973
14,-MiR5RA-m87bPmNwsbFR,BajKHjbiowREq4rDkc9zDtd8IX02,1,42,126.0,126.0,0.5
15,-MiR5RA-m87bPmNwsbFR,CH7NOFplFuWZHkqzXhQF5uhOycN2,1,42,178.0,116.0,0.6054421768707483
16,-MiR5RA-m87bPmNwsbFR,CMAPYh59OQSlAff8I0sJm37lpTG3,1,42,121.0,173.0,0.41156462585034015
17,-MiR5RA-m87bPmNwsbFR,D8w99LGHkVSSCi3E3d6b69Wi0Kp2,2,84,284.0,262.0,0.5201465201465202
18,-MiR5RA-m87bPmNwsbFR,Der2AbyctCV6TVjEb40o23mG6Wa2,1,42,70.0,182.0,0.2777777777777778
19,-MiR5RA-m87bPmNwsbFR,FrPPoKoCqoc9jS9MtaVJ9q8H3TM2,1,42,147.0,147.0,0.5
20,-MiR5RA-m87bPmNwsbFR,FzorZNI8oRftVwqkjUvr9XAYI1y1,1,36,133.0,47.0,0.7388888888888889
21,-MiR5RA-m87bPmNwsbFR,G6fLIstRn0hLsIoAaSpnh1aYePH3,1,42,197.0,97.0,0.6700680272108843
22,-MiR5RA-m87bPmNwsbFR,GBaL3BdApzceu0NwKcCrUuALI2j1,7,282,1063.0,707.0,0.6005649717514124
23,-MiR5RA-m87bPmNwsbFR,GJvWuurxLCMD8MqF9EMdO4iAAkO2,8,312,1352.0,682.0,0.6647000983284169
24,-MiR5RA-m87bPmNwsbFR,HrEdMForV1hYOe0H9Chkmy7eKKj2,1,42,213.0,81.0,0.7244897959183674
25,-MiR5RA-m87bPmNwsbFR,HxOXspo1kDfpAeUZ5pqG6tVekfG3,2,78,274.0,194.0,0.5854700854700855
26,-MiR5RA-m87bPmNwsbFR,I0y9On1APNhslW5rSjGbfnmGWXm2,2,72,271.0,161.0,0.6273148148148148
27,-MiR5RA-m87bPmNwsbFR,IaQzqBtJ5Ofr8iqOOApplePflso2,1,42,118.0,134.0,0.46825396825396826
28,-MiR5RA-m87bPmNwsbFR,JftvKNTCnBZzSq0LDoMNTP7lVLq2,2,84,312.0,234.0,0.5714285714285714
29,-MiR5RA-m87bPmNwsbFR,JnRotHcXDiR1QP6YYEaX3JS1nvZ2,2,72,291.0,213.0,0.5773809523809523
30,-MiR5RA-m87bPmNwsbFR,KNfQPFguagQT0gHeHgfqPSdPQvm1,2,72,332.0,172.0,0.6587301587301587
31,-MiR5RA-m87bPmNwsbFR,KQ4jgftSqcbI7lCuNSRho5trub62,1,42,195.0,99.0,0.6632653061224489
32,-MiR5RA-m87bPmNwsbFR,KeVX5IMjAZeBbMJvyJnJhQZfLq92,21,798,3243.0,1995.0,0.6191294387170676
33,-MiR5RA-m87bPmNwsbFR,LRU18wSsGUMsA9wbC3MWs2xc1f62,1,42,204.0,90.0,0.6938775510204082
34,-MiR5RA-m87bPmNwsbFR,LVuVhNZ8KwTa0n8tiJSrUt7WFkg1,2,66,290.0,142.0,0.6712962962962963
35,-MiR5RA-m87bPmNwsbFR,MSR06jJP8EZ9sUuPLgj31jp2Jrm1,3,120,405.0,357.0,0.531496062992126
36,-MiR5RA-m87bPmNwsbFR,McGF0ex51aW5O8Hvtxq4a353qh52,15,606,2626.0,1334.0,0.6631313131313131
37,-MiR5RA-m87bPmNwsbFR,MjL5XdRt7daHEjvLbRR8jrLCMig2,1,42,174.0,120.0,0.5918367346938775
38,-MiR5RA-m87bPmNwsbFR,NFlvMjIcKwOrui9olixZwlLUNFv2,3,120,455.0,313.0,0.5924479166666666
39,-MiR5RA-m87bPmNwsbFR,NI2xRIpNNibyuoBs6zJFUPLWoCD2,2,78,293.0,211.0,0.5813492063492064
40,-MiR5RA-m87bPmNwsbFR,NkXKnzhJqeMrJs06JsK3SSY8oiB3,3,126,479.0,361.0,0.5702380952380952
41,-MiR5RA-m87bPmNwsbFR,OGsUzaLgTdbJPi4ZbnCTsN0y5il2,2,84,236.0,352.0,0.4013605442176871
42,-MiR5RA-m87bPmNwsbFR,R6fDPtVAHyOihtDwwDEMAzFjNIf1,3,120,398.0,328.0,0.5482093663911846
43,-MiR5RA-m87bPmNwsbFR,RFtlkVXnzQfRXczqj0hqfxM0cSy1,1,30,112.0,98.0,0.5333333333333333
44,-MiR5RA-m87bPmNwsbFR,RGBuH4T8r6eVxkoQGRtnoiLfgBl1,2,66,198.0,228.0,0.4647887323943662
45,-MiR5RA-m87bPmNwsbFR,RWYJJtMHw9NhMKVQ5BMTROXK3Xq2,1,42,130.0,164.0,0.4421768707482993
46,-MiR5RA-m87bPmNwsbFR,RexqgD00o5RPehp9dxZC5t4XX4r1,1,36,112.0,140.0,0.4444444444444444
47,-MiR5RA-m87bPmNwsbFR,RyGItPnlx5ZXzMMe5y6OXIAtBHj2,1,42,194.0,100.0,0.6598639455782312
48,-MiR5RA-m87bPmNwsbFR,SM37LlRd6pPSq5qNNAAuLNKr2qy2,3,120,372.0,348.0,0.5166666666666667
49,-MiR5RA-m87bPmNwsbFR,Sn6Sc9EfiFM6CXo7Qk5L87GaDZF2,21,810,3055.0,2267.0,0.5740323186771891
50,-MiR5RA-m87bPmNwsbFR,U4uxys72G9gG3oJflK4QEuQSuNs1,1,36,170.0,82.0,0.6746031746031746
51,-MiR5RA-m87bPmNwsbFR,U5WNA2x9coXRTzLONcPCohRfzxK2,2,72,385.0,77.0,0.8333333333333334
52,-MiR5RA-m87bPmNwsbFR,Uie9ILKbd1N9ZCC2GUJimGq9wZa2,2,78,383.0,163.0,0.7014652014652014
53,-MiR5RA-m87bPmNwsbFR,VJ6zgYe3Pkfg2xfOh9WHhhsdF2n1,1,42,203.0,49.0,0.8055555555555556
54,-MiR5RA-m87bPmNwsbFR,Xb7Bn9veDfahDwLgkCvouy0RIMT2,2,78,343.0,167.0,0.6725490196078432
55,-MiR5RA-m87bPmNwsbFR,YutghLsbcAhg6yJz6jkBBUyyjBH2,1,36,122.0,94.0,0.5648148148148148
56,-MiR5RA-m87bPmNwsbFR,Z41OYBkYIrRfGJ7qRC49gkUpams2,1,42,133.0,119.0,0.5277777777777778
57,-MiR5RA-m87bPmNwsbFR,Z4ylaClyPAe5QVC5GZHmfUSkXXc2,15,618,2305.0,1613.0,0.5883103624298112
58,-MiR5RA-m87bPmNwsbFR,ZJp1zV0yW8UkFEtVC5O0bf0UheW2,1,42,72.0,180.0,0.2857142857142857
59,-MiR5RA-m87bPmNwsbFR,ZROiGSTk5FbvEc8iq0PTgGgwgDf1,1,42,123.0,129.0,0.4880952380952381
60,-MiR5RA-m87bPmNwsbFR,ZbsWIRxGTcWia2bGkSaYcntPvkd2,1,36,185.0,67.0,0.7341269841269841
61,-MiR5RA-m87bPmNwsbFR,Zo0AvDU8HldsbUHq9gfC2bPDQ2I2,1,42,73.0,179.0,0.2896825396825397
62,-MiR5RA-m87bPmNwsbFR,bKUtoZLC4QRj6FSFr5L50RDBdxd2,5,198,801.0,501.0,0.6152073732718893
63,-MiR5RA-m87bPmNwsbFR,cJfvTGX1zaW2fvZ1oxcndZrP4Ez2,2,78,276.0,228.0,0.5476190476190477
64,-MiR5RA-m87bPmNwsbFR,cKhURUr3NNZDSoMdQ23dSz0YQYh2,1,36,118.0,98.0,0.5462962962962963
65,-MiR5RA-m87bPmNwsbFR,cxktzDKItmSImEUKygifXCQQkjd2,3,120,493.0,305.0,0.6177944862155389
66,-MiR5RA-m87bPmNwsbFR,dEe7hGQV7EasnkR5ZcEBh8BTn372,2,72,210.0,186.0,0.5303030303030303
67,-MiR5RA-m87bPmNwsbFR,dfwP8a11jdhBnV8plvWX14uSeED2,1,42,148.0,146.0,0.5034013605442177
68,-MiR5RA-m87bPmNwsbFR,e60j6BlOtJUOW0vVUXXOpLVRhS83,4,156,710.0,382.0,0.6501831501831502
69,-MiR5RA-m87bPmNwsbFR,eSAcg4yGlHbzfaAA5djsbGDiwEB2,2,84,425.0,121.0,0.7783882783882784
70,-MiR5RA-m87bPmNwsbFR,f65qXdZJdZQ5ZGTSFcILtqybLOF3,1,42,202.0,92.0,0.6870748299319728
71,-MiR5RA-m87bPmNwsbFR,fNHAS1BUUaRJehgT2jwXkrbftIl2,1,30,143.0,67.0,0.680952380952381
72,-MiR5RA-m87bPmNwsbFR,ft4lEagBm4XV8y4favnbxBnXhy92,1,42,66.0,186.0,0.2619047619047619
