,task_id
1788,20-309444-470366
2728,20-309444-470373
2727,20-309444-470374
2271,20-309444-470375
2270,20-309444-470376
2269,20-309444-470377
3746,20-309445-470363
3745,20-309445-470364
3744,20-309445-470365
4457,20-309445-470369
4667,20-309445-470378
4666,20-309445-470379
4665,20-309445-470380
3743,20-309446-470363
3742,20-309446-470364
3741,20-309446-470365
2723,20-309446-470372
2721,20-309446-470374
4664,20-309446-470378
4663,20-309446-470379
4662,20-309446-470380
3740,20-309447-470363
3739,20-309447-470364
3738,20-309447-470365
2720,20-309447-470372
4583,20-309447-470381
4582,20-309447-470382
4581,20-309447-470383
3737,20-309448-470363
3736,20-309448-470364
3735,20-309448-470365
2717,20-309448-470372
2716,20-309448-470373
4580,20-309448-470381
4579,20-309448-470382
4578,20-309448-470383
3734,20-309449-470363
3628,20-309449-470364
2712,20-309449-470374
4575,20-309449-470383
3626,20-309450-470363
3995,20-309450-470364
1770,20-309450-470366
4441,20-309450-470370
4572,20-309450-470383
3993,20-309451-470363
3992,20-309451-470364
1767,20-309451-470366
2707,20-309451-470373
2706,20-309451-470374
4648,20-309451-470379
4647,20-309451-470380
4390,20-309451-470385
4389,20-309451-470386
2401,20-309451-470402
2400,20-309451-470403
2399,20-309451-470404
3990,20-309452-470363
2704,20-309452-470373
4387,20-309452-470385
4004,20-309452-470405
4003,20-309452-470406
4002,20-309452-470407
3987,20-309453-470363
4385,20-309453-470384
4384,20-309453-470385
4383,20-309453-470386
2048,20-309453-470399
2047,20-309453-470400
2393,20-309453-470404
3999,20-309453-470407
3984,20-309454-470363
3982,20-309454-470365
1756,20-309454-470368
2239,20-309454-470377
4560,20-309454-470383
1954,20-309454-470396
1953,20-309454-470397
1952,20-309454-470398
2045,20-309454-470399
2391,20-309454-470403
2390,20-309454-470404
3998,20-309454-470405
3997,20-309454-470406
3996,20-309454-470407
3981,20-309455-470363
3980,20-309455-470364
1754,20-309455-470367
4427,20-309455-470369
4379,20-309455-470384
4378,20-309455-470385
1704,20-309455-470393
1703,20-309455-470394
1702,20-309455-470395
1951,20-309455-470396
3978,20-309456-470363
3976,20-309456-470365
1752,20-309456-470366
1751,20-309456-470367
1750,20-309456-470368
4634,20-309456-470378
4633,20-309456-470379
2038,20-309456-470400
3975,20-309457-470363
4371,20-309457-470386
1943,20-309457-470398
2036,20-309457-470399
2383,20-309457-470402
3972,20-309458-470363
1745,20-309458-470367
4418,20-309458-470369
2324,20-309458-470389
2600,20-309458-470390
2598,20-309458-470392
1941,20-309458-470397
2032,20-309458-470400
3625,20-309459-470363
3624,20-309459-470364
1742,20-309459-470367
4367,20-309459-470384
4366,20-309459-470385
2322,20-309459-470388
2028,20-309459-470401
2377,20-309459-470402
2376,20-309459-470403
4211,20-309459-470405
3622,20-309460-470363
2641,20-309460-470373
2223,20-309460-470375
2222,20-309460-470376
4363,20-309460-470385
2319,20-309460-470388
2318,20-309460-470389
1935,20-309460-470397
2026,20-309460-470400
2373,20-309460-470403
3619,20-309461-470363
3617,20-309461-470365
4408,20-309461-470370
2638,20-309461-470373
2637,20-309461-470374
4332,20-309461-470383
2589,20-309461-470392
2019,20-309461-470394
1933,20-309461-470396
2022,20-309461-470401
3616,20-309462-470363
3615,20-309462-470364
1733,20-309462-470367
4357,20-309462-470385
2015,20-309462-470395
2368,20-309462-470402
2367,20-309462-470403
4202,20-309462-470405
4201,20-309462-470406
3613,20-309463-470363
3612,20-309463-470364
3611,20-309463-470365
4403,20-309463-470369
2631,20-309463-470374
2214,20-309463-470375
4613,20-309463-470378
2013,20-309463-470394
