# id,alpha
0,0.30686
1,1.20019
2,0.79720
3,0.78604
4,1.61797
5,1.15227
6,1.69800
7,0.60398
8,1.09163
9,2.18563
10,2.02752
11,1.48810
12,1.81970
13,0.26470
14,1.44743
15,2.09777
16,0.62461
17,0.96131
18,1.77757
19,2.54308
20,1.43707
21,2.59596
22,1.79632
23,1.48547
24,0.64635
25,1.59697
26,1.57051
27,1.34992
28,1.62482
29,3.22725
30,1.50006
31,0.69146
32,1.84392
33,2.12551
34,1.87611
35,1.75701
36,0.71365
37,1.73788
38,1.91436
39,0.67896
40,1.61981
41,1.45834
42,2.05560
43,1.90850
44,1.77113
45,1.07187
46,1.39817
47,1.76301
48,1.09783
49,1.90500
50,1.80873
51,1.85794
52,1.71062
53,1.43006
54,1.85361
55,2.27901
56,2.41606
57,1.22014
58,1.72175
59,2.29017
60,0.79488
61,1.95680
62,1.96267
63,1.78863
64,0.94434
65,1.98735
66,0.63636
67,0.40701
68,1.67704
69,2.16861
70,1.86583
71,1.69112
72,0.50216
73,0.72353
74,0.46926
75,1.34716
76,1.29791
77,1.58101
78,0.99319
79,0.89375
80,1.81317
81,0.88839
82,1.74859
83,1.76295
84,1.81040
85,1.67145
86,0.84480
87,1.24925
88,1.64289
89,1.61525
90,1.49784
91,0.45168
92,1.08166
93,0.97664
94,1.71371
95,1.56037
96,1.74231
97,1.43022
98,1.96769
99,1.84887
100,1.73859
101,1.63744
102,0.70882
103,1.05604
104,1.48784
105,1.65360
106,1.83460
107,1.80337
108,2.18180
109,0.73035
110,1.84941
111,1.93830
112,1.63143
113,2.07353
114,1.32701
115,1.48350
116,0.96714
117,1.28218
118,1.32905
119,1.27598
120,1.93790
121,1.01310
122,2.38924
123,1.57591
124,2.17698
125,0.73318
126,0.87297
127,1.81458
128,1.07273
129,0.43587
130,1.87412
131,1.66420
132,1.09931
133,1.40188
134,1.68972
135,1.64755
136,1.50501
137,1.84811
138,1.94471
139,1.96341
140,2.20739
141,1.32317
142,1.94018
143,1.52416
144,1.49112
145,0.75753
146,0.88878
147,1.39481
148,1.27153
149,1.90903
150,2.02978
151,1.78142
152,1.23147
153,1.01991
154,1.80929
155,1.74048
156,1.08978
157,2.65231
158,0.66550
159,1.03486
160,1.60022
161,1.85031
162,1.77632
163,1.73310
164,1.13418
165,1.70873
166,1.79930
167,1.71213
168,1.13871
169,2.09333
170,0.77002
171,1.07659
172,1.65402
173,0.42476
174,0.53951
175,1.59058
176,1.90690
177,1.49326
178,0.55984
179,1.80176
180,0.68198
