# id,alpha
0,0.07499
1,0.53407
2,0.41482
3,0.42725
4,1.04612
5,1.26606
6,1.75943
7,0.34860
8,0.99098
9,2.27644
10,1.32971
11,0.97703
12,1.17201
13,0.30440
14,1.53113
15,1.15802
16,0.56665
17,0.48228
18,1.74470
19,2.23179
20,0.82966
21,2.22899
22,1.88146
23,0.64858
24,0.69230
25,1.70581
26,1.73342
27,1.59462
28,1.28489
29,1.95349
30,1.29734
31,0.46592
32,1.71990
33,1.86871
34,2.19815
35,0.77514
36,0.64304
37,1.16855
38,2.03954
39,0.48380
40,1.68818
41,1.37140
42,1.50660
43,1.07191
44,0.85262
45,0.87257
46,1.69867
47,1.22599
48,0.91743
49,1.05684
50,1.91057
51,0.94176
52,1.65075
53,1.59004
54,1.18023
55,1.62026
56,2.45978
57,0.96077
58,1.75961
59,1.79533
60,0.52766
61,2.04432
62,2.26142
63,1.19061
64,1.57712
65,1.24594
66,0.39368
67,0.50182
68,1.54115
69,1.95944
70,1.07986
71,1.12787
72,0.28992
73,0.70908
74,0.51280
75,0.75252
76,1.24790
77,0.57004
78,0.97694
79,0.69448
80,1.10456
81,0.59505
82,0.85775
83,1.29312
84,1.16200
85,1.40716
86,0.64274
87,1.20045
88,1.27448
89,1.33269
90,1.01217
91,0.27669
92,0.85434
93,1.06988
94,1.69889
95,1.03156
96,1.51559
97,0.98548
98,1.13005
99,1.96773
100,1.81031
101,1.47099
102,0.24874
103,0.91016
104,1.43194
105,1.30616
106,1.90696
107,1.87664
108,1.95755
109,0.62798
110,1.73946
111,1.54417
112,0.34830
113,1.63445
114,0.55686
115,1.73277
116,0.78805
117,1.29658
118,1.12074
119,1.28958
120,1.80729
121,0.66453
122,2.34891
123,0.93093
124,1.39845
125,0.61281
126,0.92019
127,1.15888
128,1.22817
129,0.31674
130,1.74834
131,1.37815
132,0.57953
133,1.51471
134,1.21708
135,1.33386
136,1.00022
137,1.65780
138,1.25508
139,1.10365
140,1.90178
141,1.44309
142,1.39863
143,0.65079
144,1.76989
145,0.71701
146,0.40036
147,0.64630
148,1.19989
149,1.69392
150,1.11393
151,1.35577
152,1.26549
153,0.82121
154,1.21451
155,1.18435
156,1.23828
157,2.20213
158,0.30921
159,0.49484
160,1.29371
161,1.85479
162,0.59870
163,1.30661
164,0.29685
165,1.40560
166,1.30833
167,0.93190
168,0.66751
169,2.29095
170,0.82743
171,1.13427
172,1.78351
173,0.39859
174,0.34539
175,0.74452
176,1.32866
177,1.21253
178,0.68428
179,1.67752
180,0.41886
