# id,beta
0,1.53435
1,3.04290
2,5.66335
3,3.19035
4,5.66335
5,1.44494
6,3.19035
7,3.04290
8,5.66335
9,1.39876
10,2.09046
11,5.66335
12,3.23669
13,2.50341
14,3.04290
15,1.99675
16,1.09260
17,2.12316
18,1.99675
19,1.09260
20,1.11391
21,1.11391
22,1.85435
23,3.18533
24,1.73923
25,1.26104
26,2.51987
27,6.23112
28,1.28425
29,1.67731
30,1.28732
31,2.44437
32,1.31261
33,3.08934
34,1.72511
35,2.18963
36,2.65018
37,2.44437
38,2.54085
39,2.28618
40,3.32697
41,6.23112
42,2.01502
43,1.23934
44,4.41724
45,1.31261
46,1.67731
47,1.39784
48,1.47425
49,2.08352
50,1.49423
51,3.85415
52,3.05169
53,1.98173
54,6.23112
55,6.23112
56,3.05169
57,2.05386
58,3.09645
59,1.31261
60,6.23112
61,2.18963
62,2.48350
63,1.82178
64,4.41724
65,6.23112
66,1.30534
67,1.37232
68,1.36535
69,1.69279
70,1.41747
71,2.57666
72,3.08110
73,1.30534
74,1.36535
75,1.41747
76,1.30534
77,2.76653
78,1.69279
79,1.35249
80,1.30534
81,3.08110
82,1.40357
83,1.36535
84,1.33513
85,1.33513
86,1.41747
87,1.58773
88,1.30534
89,1.36535
90,1.37232
91,1.33513
92,1.42544
93,1.30534
94,1.36535
95,2.21237
96,1.64714
97,1.64714
98,1.39323
99,2.39989
100,1.33513
101,1.41747
102,1.37232
103,2.08469
104,1.30534
105,1.37232
106,1.41747
107,1.58773
108,4.31563
109,4.12201
110,3.18361
111,4.31563
112,2.58729
113,2.19070
114,2.52804
115,4.66557
116,4.66557
117,4.51596
118,3.46708
119,4.51596
120,4.66557
121,4.51596
122,4.66557
123,4.66557
124,4.66557
125,4.66557
126,3.46708
127,2.77303
128,1.13446
129,4.38940
130,1.48395
131,2.77303
132,1.83104
133,1.13280
134,1.83104
135,1.14468
136,4.26113
137,2.07913
138,1.13280
139,1.12945
140,1.72430
141,4.26113
142,1.08589
143,2.11383
144,4.38940
145,4.38940
146,3.09094
147,5.05768
148,2.07913
149,2.16046
150,2.16046
151,2.07913
152,5.05768
153,5.05768
154,5.05768
155,5.05768
156,2.22893
157,5.05804
158,3.89553
159,2.70235
160,3.89553
161,5.05804
162,2.20528
163,3.89553
164,2.36819
165,5.05804
166,5.05804
167,3.89553
168,5.05804
169,5.05804
170,3.89553
171,5.05804
172,1.97798
173,5.05804
174,3.89553
175,2.22893
176,1.67852
177,3.89553
178,3.89553
179,1.23910
180,2.70235
181,0.93951
182,0.92110
183,5.05804
184,2.91405
185,1.53119
186,2.01335
187,6.07542
188,6.07542
189,6.07542
190,6.07542
191,4.14406
192,6.07542
193,6.07542
194,4.21613
195,6.07542
196,4.21613
197,6.07542
198,6.07542
199,1.22819
200,2.46370
201,2.58017
202,1.33255
203,1.20091
204,1.35623
205,2.60995
206,3.24802
207,1.92646
208,2.01335
209,2.07108
210,3.24802
211,2.01335
212,2.58017
213,2.11584
214,3.24802
215,2.60995
216,1.31813
217,2.60995
218,2.11584
219,1.33255
220,4.21613
221,2.03657
222,1.39476
223,2.40680
224,1.85702
225,5.69231
226,4.27375
227,1.14416
228,1.14563
229,5.69231
230,1.16207
231,1.15593
232,3.77033
233,2.76839
234,1.43668
235,1.16207
