# id,z0,z1
0,0.95231,0.04769
1,1.00000,0.00000
2,1.00000,0.00000
3,1.00000,0.00000
4,1.00000,0.00000
5,0.92980,0.07020
6,1.00000,0.00000
7,1.00000,0.00000
8,1.00000,0.00000
9,0.93429,0.06571
10,0.99868,0.00132
11,1.00000,0.00000
12,1.00000,0.00000
13,0.99687,0.00313
14,1.00000,0.00000
15,0.99725,0.00275
16,0.34718,0.65282
17,0.99853,0.00147
18,0.99725,0.00275
19,0.34718,0.65282
20,0.66440,0.33560
21,0.66440,0.33560
22,0.97866,0.02134
23,1.00000,0.00000
24,0.01570,0.98430
25,0.61020,0.38980
26,0.99776,0.00224
27,1.00000,0.00000
28,0.25852,0.74148
29,0.92057,0.07943
30,0.63854,0.36146
31,0.99740,0.00260
32,0.18150,0.81850
33,0.99987,0.00013
34,0.94422,0.05578
35,0.99518,0.00482
36,0.99909,0.00091
37,0.99740,0.00260
38,0.00045,0.99955
39,0.99303,0.00697
40,0.99997,0.00003
41,1.00000,0.00000
42,0.97913,0.02087
43,0.51915,0.48085
44,1.00000,0.00000
45,0.18150,0.81850
46,0.92057,0.07943
47,0.81615,0.18385
48,0.09837,0.90163
49,0.00450,0.99550
50,0.08751,0.91249
51,0.99999,0.00001
52,0.99977,0.00023
53,0.97569,0.02431
54,1.00000,0.00000
55,1.00000,0.00000
56,0.99977,0.00023
57,0.00540,0.99460
58,0.00001,0.99999
59,0.18150,0.81850
60,1.00000,0.00000
61,0.99518,0.00482
62,0.99846,0.00154
63,0.96747,0.03253
64,1.00000,0.00000
65,1.00000,0.00000
66,0.31927,0.68073
67,0.59709,0.40291
68,0.55794,0.44206
69,0.85718,0.14282
70,0.16111,0.83889
71,0.00147,0.99853
72,0.00007,0.99993
73,0.31927,0.68073
74,0.55794,0.44206
75,0.16111,0.83889
76,0.31927,0.68073
77,0.99564,0.00436
78,0.85718,0.14282
79,0.57319,0.42681
80,0.31927,0.68073
81,0.00007,0.99993
82,0.62867,0.37133
83,0.55794,0.44206
84,0.46406,0.53594
85,0.46406,0.53594
86,0.16111,0.83889
87,0.04129,0.95871
88,0.31927,0.68073
89,0.55794,0.44206
90,0.59709,0.40291
91,0.46406,0.53594
92,0.69682,0.30318
93,0.31927,0.68073
94,0.55794,0.44206
95,0.98422,0.01578
96,0.87649,0.12351
97,0.87649,0.12351
98,0.21951,0.78049
99,0.00555,0.99445
100,0.46406,0.53594
101,0.16111,0.83889
102,0.59709,0.40291
103,0.95833,0.04167
104,0.31927,0.68073
105,0.59709,0.40291
106,0.16111,0.83889
107,0.04129,0.95871
108,1.00000,0.00000
109,1.00000,0.00000
110,0.99994,0.00006
111,1.00000,0.00000
112,0.99923,0.00077
113,0.99990,0.00010
114,0.99999,0.00001
115,1.00000,0.00000
116,1.00000,0.00000
117,1.00000,0.00000
118,1.00000,0.00000
119,1.00000,0.00000
120,1.00000,0.00000
121,1.00000,0.00000
122,1.00000,0.00000
123,1.00000,0.00000
124,1.00000,0.00000
125,1.00000,0.00000
126,1.00000,0.00000
127,0.99954,0.00046
128,0.16617,0.83383
129,1.00000,0.00000
130,0.91510,0.08490
131,0.99954,0.00046
132,0.93983,0.06017
133,0.60640,0.39360
134,0.93983,0.06017
135,0.63995,0.36005
136,1.00000,0.00000
137,0.00036,0.99964
138,0.60640,0.39360
139,0.20301,0.79699
140,0.00214,0.99786
141,1.00000,0.00000
142,0.51000,0.49000
143,0.99666,0.00334
144,1.00000,0.00000
145,1.00000,0.00000
146,0.99987,0.00013
147,1.00000,0.00000
148,0.99964,0.00036
149,0.98872,0.01128
150,0.98872,0.01128
151,0.99964,0.00036
152,1.00000,0.00000
153,1.00000,0.00000
154,1.00000,0.00000
155,1.00000,0.00000
156,1.00000,0.00000
157,1.00000,0.00000
158,1.00000,0.00000
159,1.00000,0.00000
160,1.00000,0.00000
161,1.00000,0.00000
162,0.99999,0.00001
163,1.00000,0.00000
164,0.99997,0.00003
165,1.00000,0.00000
166,1.00000,0.00000
167,1.00000,0.00000
168,1.00000,0.00000
169,1.00000,0.00000
170,1.00000,0.00000
171,1.00000,0.00000
172,0.99992,0.00008
173,1.00000,0.00000
174,1.00000,0.00000
175,1.00000,0.00000
176,0.99527,0.00473
177,1.00000,0.00000
178,1.00000,0.00000
179,0.94453,0.05547
180,1.00000,0.00000
181,0.27293,0.72707
182,0.57853,0.42147
183,1.00000,0.00000
184,0.99992,0.00008
185,0.90608,0.09392
186,0.98778,0.01222
187,1.00000,0.00000
188,1.00000,0.00000
189,1.00000,0.00000
190,1.00000,0.00000
191,1.00000,0.00000
192,1.00000,0.00000
193,1.00000,0.00000
194,1.00000,0.00000
195,1.00000,0.00000
196,1.00000,0.00000
197,1.00000,0.00000
198,1.00000,0.00000
199,0.66599,0.33401
