idx,task_id,0_count,1_count,2_count,3_count,total_count,0_share,1_share,2_share,3_share,agreement,quadkey,Unnamed: 0,geom,taskX,taskY,url,urlB
0,20-309445-470363,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213022123,1805,"MULTIPOLYGON(((-73.7604904174805 18.1996744325432,-73.7601470947266 18.1996744325432,-73.7601470947266 18.1993482846078,-73.7604904174805 18.1993482846078,-73.7604904174805 18.1996744325432)))",309445,470363,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309445&y=470363&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309445/470363
1,20-309445-470364,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213022301,1804,"MULTIPOLYGON(((-73.7604904174805 18.1993482846078,-73.7601470947266 18.1993482846078,-73.7601470947266 18.1990221360621,-73.7604904174805 18.1990221360621,-73.7604904174805 18.1993482846078)))",309445,470364,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309445&y=470364&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309445/470364
2,20-309445-470365,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213022303,1803,"MULTIPOLYGON(((-73.7604904174805 18.1990221360621,-73.7601470947266 18.1990221360621,-73.7601470947266 18.198695986906,-73.7604904174805 18.198695986906,-73.7604904174805 18.1990221360621)))",309445,470365,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309445&y=470365&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309445/470365
3,20-309446-470363,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213022132,1802,"MULTIPOLYGON(((-73.7601470947266 18.1996744325432,-73.7598037719727 18.1996744325432,-73.7598037719727 18.1993482846078,-73.7601470947266 18.1993482846078,-73.7601470947266 18.1996744325432)))",309446,470363,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309446&y=470363&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309446/470363
4,20-309446-470364,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213022310,1801,"MULTIPOLYGON(((-73.7601470947266 18.1993482846078,-73.7598037719727 18.1993482846078,-73.7598037719727 18.1990221360621,-73.7601470947266 18.1990221360621,-73.7601470947266 18.1993482846078)))",309446,470364,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309446&y=470364&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309446/470364
5,20-309446-470365,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0,03221031320213022312,1800,"MULTIPOLYGON(((-73.7601470947266 18.1990221360621,-73.7598037719727 18.1990221360621,-73.7598037719727 18.198695986906,-73.7601470947266 18.198695986906,-73.7601470947266 18.1990221360621)))",309446,470365,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309446&y=470365&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309446/470365
6,20-309447-470363,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213022133,1799,"MULTIPOLYGON(((-73.7598037719727 18.1996744325432,-73.7594604492188 18.1996744325432,-73.7594604492188 18.1993482846078,-73.7598037719727 18.1993482846078,-73.7598037719727 18.1996744325432)))",309447,470363,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309447&y=470363&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309447/470363
7,20-309447-470364,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213022311,1798,"MULTIPOLYGON(((-73.7598037719727 18.1993482846078,-73.7594604492188 18.1993482846078,-73.7594604492188 18.1990221360621,-73.7598037719727 18.1990221360621,-73.7598037719727 18.1993482846078)))",309447,470364,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309447&y=470364&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309447/470364
8,20-309447-470365,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0,03221031320213022313,1797,"MULTIPOLYGON(((-73.7598037719727 18.1990221360621,-73.7594604492188 18.1990221360621,-73.7594604492188 18.198695986906,-73.7598037719727 18.198695986906,-73.7598037719727 18.1990221360621)))",309447,470365,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309447&y=470365&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309447/470365
9,20-309448-470363,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213023022,1796,"MULTIPOLYGON(((-73.7594604492188 18.1996744325432,-73.7591171264648 18.1996744325432,-73.7591171264648 18.1993482846078,-73.7594604492188 18.1993482846078,-73.7594604492188 18.1996744325432)))",309448,470363,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309448&y=470363&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309448/470363
10,20-309448-470364,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213023200,1795,"MULTIPOLYGON(((-73.7594604492188 18.1993482846078,-73.7591171264648 18.1993482846078,-73.7591171264648 18.1990221360621,-73.7594604492188 18.1990221360621,-73.7594604492188 18.1993482846078)))",309448,470364,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309448&y=470364&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309448/470364
11,20-309448-470365,0,1,0,0,1,0.0,1.0,0.0,0.0,1.0,03221031320213023202,1794,"MULTIPOLYGON(((-73.7594604492188 18.1990221360621,-73.7591171264648 18.1990221360621,-73.7591171264648 18.198695986906,-73.7594604492188 18.198695986906,-73.7594604492188 18.1990221360621)))",309448,470365,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309448&y=470365&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309448/470365
12,20-309449-470363,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213023023,1793,"MULTIPOLYGON(((-73.7591171264648 18.1996744325432,-73.7587738037109 18.1996744325432,-73.7587738037109 18.1993482846078,-73.7591171264648 18.1993482846078,-73.7591171264648 18.1996744325432)))",309449,470363,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309449&y=470363&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309449/470363
13,20-309449-470364,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213023201,1792,"MULTIPOLYGON(((-73.7591171264648 18.1993482846078,-73.7587738037109 18.1993482846078,-73.7587738037109 18.1990221360621,-73.7591171264648 18.1990221360621,-73.7591171264648 18.1993482846078)))",309449,470364,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309449&y=470364&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309449/470364
14,20-309449-470365,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,03221031320213023203,1791,"MULTIPOLYGON(((-73.7591171264648 18.1990221360621,-73.7587738037109 18.1990221360621,-73.7587738037109 18.198695986906,-73.7591171264648 18.198695986906,-73.7591171264648 18.1990221360621)))",309449,470365,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309449&y=470365&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309449/470365
15,20-309450-470363,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0,03221031320213023032,1790,"MULTIPOLYGON(((-73.7587738037109 18.1996744325432,-73.758430480957 18.1996744325432,-73.758430480957 18.1993482846078,-73.7587738037109 18.1993482846078,-73.7587738037109 18.1996744325432)))",309450,470363,https://haitidata.org/geoserver/gwc/service/gmaps?layers=geonode:ortho&zoom=20&x=309450&y=470363&format=image/png,https://tiles.openaerialmap.org/612667edb7012200056b5cb9/0/612667edb7012200056b5cba/20/309450/470363
